DeviceId,PenId,ExportId,WellPlateID,WellPlateIndex,WellRow,WellColumn,NumCellsInPenBeforeUnpen,NumCellsInPenBeforeUnpenVerified,NumCellsUnpenned,NumCellsUnpennedVerified,CellType,ExportVolumeMicroLiters,OepVoltageP2PSet,OepFrequency,IsUnpenSuccess,UnpenMethod,BubbleUnpen,MinYieldEnabled,MinYieldThreshold,RepenRequired,LaserOutputPercentage,LaserSpeedMicronsPerSecond,LaserOffsetX,LaserOffsetY,NestTempDegC,UnpenDurationSeconds,Objective,TimeStamp,UnloadDurationSeconds,Instrument,NestId
D122782,1518,ubi0pku5Ee-zcA,20240726 export plate 1,0,A,1,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.11023712158203,4x,2024-07-26_18-47-11,119.34447,BSN0146,1
D122782,1534,ubjKHEu5Ee-3Wg,20240726 export plate 1,0,A,2,2,2,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.65985870361328,4x,2024-07-26_18-49-11,119.65453,BSN0146,1
D122782,1582,ubjPeEu5Ee-Hjg,20240726 export plate 1,0,A,3,1,1,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.31372833251953,4x,2024-07-26_18-51-09,118.61581,BSN0146,1
D122782,2288,ubjTDEu5Ee-svw,20240726 export plate 1,0,A,4,1,1,0,0,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,95.96099090576172,4x,2024-07-26_18-53-59,169.25014,BSN0146,1
D122782,2600,ubjVbku5Ee-olg,20240726 export plate 1,0,A,5,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.240501403808594,4x,2024-07-26_18-55-59,120.20683,BSN0146,1
D122782,2677,ubjYaEu5Ee-tpA,20240726 export plate 1,0,A,6,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.383888244628906,4x,2024-07-26_18-57-59,120.11211,BSN0146,1
D122782,3069,ubjb_Uu5Ee-Iog,20240726 export plate 1,0,A,7,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.391334533691406,4x,2024-07-26_18-59-59,119.80827,BSN0146,1
D122782,3588,ubje-Eu5Ee-U8Q,20240726 export plate 1,0,A,8,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.133209228515625,4x,2024-07-26_19-02-00,120.78091,BSN0146,1
D122782,4303,ubjh80u5Ee-IHQ,20240726 export plate 1,0,A,9,1,1,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.448699951171875,4x,2024-07-26_19-04-00,119.98053,BSN0146,1
D122782,5103,ubjk7ku5Ee-FZw,20240726 export plate 1,0,A,10,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.455322265625,4x,2024-07-26_19-06-03,121.98385,BSN0146,1
D122782,5159,ubjogEu5Ee-gfg,20240726 export plate 1,0,A,11,1,1,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.38606262207031,4x,2024-07-26_19-08-04,121.26752,BSN0146,1
D122782,5439,ubjsYUu5Ee-CpQ,20240726 export plate 1,0,A,12,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.89387512207031,4x,2024-07-26_19-10-07,122.47334,BSN0146,1
D122782,5647,ubjxcEu5Ee-NnQ,20240726 export plate 1,0,B,1,2,2,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.93843078613281,4x,2024-07-26_19-12-07,120.42334,BSN0146,1
D122782,5845,ubj2gku5Ee-nUg,20240726 export plate 1,0,B,2,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.813438415527344,4x,2024-07-26_19-14-07,119.84418,BSN0146,1
D122782,6319,ubj9Xku5Ee-hDA,20240726 export plate 1,0,B,3,0,0,0,0,,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,95.66130065917969,4x,2024-07-26_19-16-57,170.06107,BSN0146,1
D122782,7595,ubkA8Eu5Ee-6wA,20240726 export plate 1,0,B,4,1,1,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.391754150390625,4x,2024-07-26_19-19-55,120.14972,BSN0146,1
D122782,9426,ubkD60u5Ee-G5A,20240726 export plate 1,0,B,5,2,2,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.288856506347656,4x,2024-07-26_19-21-54,118.95911,BSN0146,1
D122782,10512,ubkG5ku5Ee-WMg,20240726 export plate 1,0,B,6,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.23912048339844,4x,2024-07-26_19-23-53,119.25671,BSN0146,1
D122782,11018,ubkI_Uu5Ee--vg,20240726 export plate 1,0,B,7,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.01173400878906,4x,2024-07-26_19-25-51,118.03853,BSN0146,1
D122782,12043,ubkLEUu5Ee-Pfg,20240726 export plate 1,0,B,8,2,2,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.214637756347656,4x,2024-07-26_19-27-51,119.36684,BSN0146,1
D122782,12588,ubkM3Eu5Ee-Krw,20240726 export plate 1,0,B,9,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.27470397949219,4x,2024-07-26_19-29-53,121.84325,BSN0146,1
D122782,12932,ubkPiku5Ee-4uw,20240726 export plate 1,0,B,10,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.34056854248047,4x,2024-07-26_19-31-54,120.73897,BSN0146,1
D122782,12943,ubkRoUu5Ee-Zmg,20240726 export plate 1,0,B,11,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.57904815673828,4x,2024-07-26_19-33-54,120.15629,BSN0146,1
D122782,13630,ubkUAku5Ee-t3w,20240726 export plate 1,0,B,12,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.765602111816406,4x,2024-07-26_19-35-54,119.96355,BSN0146,1
D122782,13687,ubkWGUu5Ee-ZQA,20240726 export plate 1,0,C,1,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.37566375732422,4x,2024-07-26_19-37-53,118.81006,BSN0146,1
D122782,14091,ubkX40u5Ee-tAQ,20240726 export plate 1,0,C,2,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.62566375732422,4x,2024-07-26_19-39-52,118.43915,BSN0146,1
D122782,14586,ubkZ-ku5Ee-Dbw,20240726 export plate 1,0,C,3,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.35649108886719,4x,2024-07-26_19-41-52,120.36918,BSN0146,1
D122782,14854,ubkcD0u5Ee-fbw,20240726 export plate 1,0,C,4,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.731224060058594,4x,2024-07-26_19-43-52,119.95628,BSN0146,1
D122782,16040,ubkfCku5Ee-LIQ,20240726 export plate 1,0,C,5,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.348716735839844,4x,2024-07-26_19-45-52,119.91122,BSN0146,1
D122782,16835,ubkiBUu5Ee--5A,20240726 export plate 1,0,C,6,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.29335021972656,4x,2024-07-26_19-48-49,120.30278,BSN0146,1
D122782,16918,ubkkHEu5Ee-kWg,20240726 export plate 1,0,C,7,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.17290496826172,4x,2024-07-26_19-50-48,118.49448,BSN0146,1
D122782,16919,ubkl5ku5Ee-G8A,20240726 export plate 1,0,C,8,2,2,2,2,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.2569580078125,4x,2024-07-26_19-52-46,118.14611,BSN0146,1
D122782,18320,ubkn-ku5Ee-7Gg,20240726 export plate 1,0,C,9,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.305747985839844,4x,2024-07-26_19-54-46,119.62163,BSN0146,1
D122782,18660,ubkqEUu5Ee-lFA,20240726 export plate 1,0,C,10,1,1,1,1,20240726 Mosaic-7com-mi3 D84,10,6,2,True,OEP Unpen,False,False,1,False,0,0,1027,997,18,48.060218811035156,4x,2024-07-26_19-56-44,117.7638,BSN0146,1
